Slice	Channel	C01	C01x	C02	C02x	C03	C03x	C04	C04x	C05	C05x	C06	C06x	C07	C07x	C08	C08x	C09	C09x	C10	C10x	C11	C11x	C12	C12x
40	3	1.398	1143.17	-5.414	1306.297	30.448	1249.738	-44.27	1182.74	-26.744	1055.226	44.117	1067.921	-66.887	1234.779	-24.492	1022.716	40.982	1434.557	57.496	1353.247	-8.298	1321.409	37.447	1252.634
43	1	71.133	172.035	74.681	182.054	47.624	180.493	224.669	180.351	233.678	175.187	270.803	185.745	220.942	169.396	40.594	171.028	119.879	174.896	66.144	171.786	138.016	176.913	73.878	165.202
43	2	27.252	317.493	34.886	328.951	48.62	332.798	94.7	326.117	94.823	318.099	114.393	311.341	81.999	298.784	11.957	300.899	36.895	322.101	39.566	308.414	56.166	316.932	41.32	289.86
43	3	-2.101	1149.969	-5.349	1306.135	24.367	1254.503	-46.582	1192.591	-14.453	1046.326	-18.065	1134.552	-49.837	1236.321	-18.875	1031.888	83.97	1395.836	71.604	1344.622	-4.591	1325.348	23.891	1277.454
46	1	51.908	172.033	63.1	180.569	46.37	179.158	277.125	179.215	230.453	174.158	234.642	185.678	246.416	175.596	38.732	170.356	118.547	179.886	53.894	172.587	172.66	175.485	83.59	166.843
46	2	15.836	319.18	24.819	330.02	50.706	330.676	119.867	325.321	99.717	317.936	96.526	312.934	94.516	303.948	9.35	302.969	38.886	323.409	28.382	310.493	70.967	315.712	44.624	293.231
46	3	-26.576	1172.769	-1.205	1307.291	23.81	1265.399	-45.461	1208.998	-12.38	1052.742	-32.611	1157.663	-46.138	1243.394	-22.347	1035.638	32.739	1459.052	38.867	1353.987	-3.125	1321.575	0.9	1289.62
49	1	41.542	172.019	56.109	180.697	42.494	180.953	332.448	183.137	256.899	174.989	201.788	181.012	322.454	172.567	31.396	169.087	115.485	175.905	48.072	175.264	209.26	176.08	82.936	168.314
49	2	12.839	318.109	21.469	331.303	48.882	334.291	156.769	327.498	114.774	319.344	81.173	311.76	130.984	301.086	5.925	302.821	37.391	323.586	26.918	316.239	89.409	317.223	44.706	297.04
49	3	5.031	1159.574	2.318	1319.626	4.898	1283.36	-35.496	1208.75	-9.302	1059.658	-46.847	1162.351	-38.889	1245.427	-9.226	1037.87	113.801	1375.591	33.563	1366.012	-6.583	1330.387	11.731	1278.249
52	1	34.436	171.62	57.322	179.387	42.069	180.545	324.984	183.532	253.589	174.859	195.939	173.749	384.55	176.166	29.894	170.863	93.957	176.482	45.33	174.349	229.412	174.586	73.69	169.3
52	2	11.601	318.028	22.533	330.12	46.934	332.474	158.415	327.557	118.506	318.403	82.128	306.24	161.743	302.033	5.514	303.887	28.42	323.516	22.346	314.228	104.405	314.018	41.072	298.854
52	3	23.484	1167.402	-24.355	1359.316	25.743	1269.509	-45.47	1218.24	1.11	1060.089	-32.976	1179.001	-28.862	1245.743	-16.886	1050.883	80.106	1406.648	29.348	1363.315	1.452	1329.959	27.945	1258.117
55	1	32.41	171.943	57.846	178.94	40.426	181.312	303.216	186.862	227.932	179.686	164.526	176.99	415.202	175.377	26.827	169.339	78.27	176.812	52.231	174.878	238.406	176.423	63.418	169.572
55	2	11.516	317.404	23.586	330.361	47.401	332.87	147.072	329.543	110.413	318.477	64.289	311.295	178.128	303.616	8.602	303.414	22.073	326.272	32.643	315.295	104.828	317.632	37.729	298.84
55	3	12.428	1185.036	-23.268	1394.859	13.001	1275.059	-29.809	1214.901	4.957	1064.2	33.147	1114.373	-40.631	1241.212	-14.296	1059.122	80.865	1399.035	40.892	1356.785	-3.688	1333.622	10.025	1275.737
58	1	30.555	172.157	59.992	179.597	37.118	182.556	326.558	185.692	190.647	176.525	149.055	181.322	411.942	185.993	24.426	170.405	94.182	176.458	54.777	174.231	236.103	177.881	43.393	178.486
58	2	11.756	317.043	21.902	332.172	44.506	332.408	149.693	330.274	88.473	319.896	55.59	315.831	176.577	310.903	7.478	306.262	23.507	326.779	29.16	314.287	101.915	319.807	27.383	300.536
58	3	25.467	1192.961	-32.287	1394.658	-6.494	1303.874	-54.355	1239.842	8.271	1067.552	-24.431	1182.176	-26.337	1244.287	-19.568	1057.284	77.061	1397.964	37.193	1350.53	-9.253	1342.419	54.722	1237.525
61	1	28.366	172.699	74.486	179.672	33.544	183.474	329.701	181.744	164.998	177.097	156.742	172.586	329.635	180.465	19.187	172.529	101.374	178.89	64.137	175.697	222.795	175.532	42.543	168.752
61	2	8.461	317.54	27.355	330.92	35.867	333.914	153.814	328.162	71.71	323.165	58.309	310.453	139.691	309.173	4.752	309.805	28.4	326.575	32.134	315.401	100.107	315.522	30.97	295.122
61	3	19.554	1203.333	-31.149	1394.284	-22.483	1326.949	-42.922	1234.681	8.837	1075.801	39.002	1154.491	-24.598	1242.616	-12.802	1065.413	34.409	1427.743	28.358	1354.926	15.598	1321.283	-3.681	1258.826
64	1	25.03	172.763	81.806	179.53	32.685	184.393	293.401	200.989	138.874	178.206	154.832	178.504	297.591	178.25	14.15	173.564	107.352	177.898	60.565	176.077	200.158	180.184	37.824	170.757
64	2	9.051	315.897	31.737	331.979	39.279	335.074	128.448	344.881	59.012	321.385	59.423	314.282	118.138	305.184	1.047	314.095	29.61	327.443	33.149	315.75	86.422	321.644	33.455	299.471
64	3	17.385	1213.39	-10.884	1385.042	7.024	1304.416	-42.702	1247.424	14.025	1085.661	12.722	1189.616	-43.388	1245.955	-28.323	1082.815	65.661	1402.598	58.815	1350.132	-6.486	1346.511	16.399	1262.839
67	1	25.533	171.683	88.464	180.336	34.476	183.593	314.274	184.423	131.011	176.814	151.411	173.955	231.903	176.505	8.96	174.291	122.307	177.285	68.038	175.837	195.243	177.91	38.419	171.286
67	2	10.013	314.548	35.136	332.884	37.419	335.74	135.898	330.35	53.56	321.642	60.45	311.384	87.35	306.083	1.741	312.871	36.037	325.208	37.885	317.905	81.382	320.872	37	301.28
67	3	31.102	1213.533	-13.159	1401.43	-43.657	1350.113	-27.948	1246.608	9.572	1081.347	20.936	1184.061	-53.487	1244.301	-44.09	1112.175	19.89	1418.418	30	1349.759	-2.273	1336.805	30.428	1245.385
70	1	19.832	171.705	101.194	177.703	33.225	182.263	297.043	182.896	132.227	174.622	138.482	176.437	209.206	169.927	8.195	174.784	123.933	175.49	68.206	175.314	175.57	174.899	30.593	168.402
70	2	3.583	317.533	38.914	331.008	36.791	333.782	124.414	329.308	52.586	319.842	55.269	310.412	74.483	304.064	1.074	314.715	34.688	322.382	33.195	319.345	73.271	316.947	28.397	300.462
70	3	-1.841	1240.028	-16.331	1407.951	-36.298	1353.068	-37.609	1262.121	19.522	1082.587	21.161	1187.647	-40.657	1235.052	-36.096	1109.267	-0.285	1432.273	5.836	1365.696	10.856	1327.064	19.608	1249.375
